source_candidate_ids,建议规范名称,动作,对象,可用区域,数值类型,所属功能域,车辆信号规范来源路径,安卓汽车辅助来源,与现有意图是否重叠,当前对应意图编号,是否拥有现有安全合同,建议运行身份,判定类别,判定依据,原候选覆盖标签
VCC-141;VCC-142;VCC-143;VCC-157;VCC-158,设置座椅侧翼支撑,设置,座椅,按官方路径区域归并,百分比,座舱,Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.SideBolsterSupport; Vehicle.Cabin.Seat.Row1.Middle.Backrest.SideBolsterSupport; Vehicle.Cabin.Seat.Row1.PassengerSide.Backrest.SideBolsterSupport; Vehicle.Cabin.Seat.Row2.DriverSide.Backrest.SideBolsterSupport; Vehicle.Cabin.Seat.Row2.Middle.Backrest.SideBolsterSupport; Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.SideBolsterSupport; Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row1.Middle.Backrest.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row1.PassengerSide.Backrest.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row2.DriverSide.Backrest.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row2.Middle.Backrest.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row1.Middle.Backrest.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row1.PassengerSide.Backrest.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row2.DriverSide.Backrest.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row2.Middle.Backrest.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row1.DriverSide.Seating.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row1.Middle.Seating.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row1.PassengerSide.Seating.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row2.DriverSide.Seating.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row2.Middle.Seating.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row2.PassengerSide.Seating.SideBolsterSupportLeft; Vehicle.Cabin.Seat.Row1.DriverSide.Seating.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row1.Middle.Seating.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row1.PassengerSide.Seating.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row2.DriverSide.Seating.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row2.Middle.Seating.SideBolsterSupportRight; Vehicle.Cabin.Seat.Row2.PassengerSide.Seating.SideBolsterSupportRight,INFO_DRIVER_SEAT; HVAC_SEAT_TEMPERATURE; HVAC_SEAT_VENTILATION; SEAT_MEMORY_SELECT; SEAT_MEMORY_SET; SEAT_BELT_BUCKLED; SEAT_BELT_HEIGHT_POS; SEAT_BELT_HEIGHT_MOVE; SEAT_FORE_AFT_POS; SEAT_FORE_AFT_MOVE; SEAT_BACKREST_ANGLE_1_POS; SEAT_BACKREST_ANGLE_1_MOVE; SEAT_BACKREST_ANGLE_2_POS; SEAT_BACKREST_ANGLE_2_MOVE; SEAT_HEIGHT_POS; SEAT_HEIGHT_MOVE; SEAT_DEPTH_POS; SEAT_DEPTH_MOVE; SEAT_TILT_POS; SEAT_TILT_MOVE; SEAT_LUMBAR_FORE_AFT_POS; SEAT_LUMBAR_FORE_AFT_MOVE; SEAT_LUMBAR_SIDE_SUPPORT_POS; SEAT_LUMBAR_SIDE_SUPPORT_MOVE; SEAT_HEADREST_HEIGHT_POS; SEAT_HEADREST_HEIGHT_POS_V2; SEAT_HEADREST_HEIGHT_MOVE; SEAT_HEADREST_ANGLE_POS; SEAT_HEADREST_ANGLE_MOVE; SEAT_HEADREST_FORE_AFT_POS; SEAT_HEADREST_FORE_AFT_MOVE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; SEAT_EASY_ACCESS_ENABLED; SEAT_AIRBAG_ENABLED; SEAT_AIRBAGS_DEPLOYED; SEAT_CUSHION_SIDE_SUPPORT_POS; SEAT_CUSHION_SIDE_SUPPORT_MOVE; SEAT_LUMBAR_VERTICAL_POS; SEAT_LUMBAR_VERTICAL_MOVE; SEAT_WALK_IN_POS; SEAT_BELT_PRETENSIONER,否,,否/待审,已知但不可执行,new_known_candidates,VSS 明确提供用户可操作的座椅舒适性目标；可自然表达为设置座椅部件及数值，但现有 149 个意图未覆盖。,缺失候选
VCC-146,设置座椅头枕角度,设置,座椅,按官方路径区域归并,连续数值,座舱,Vehicle.Cabin.Seat.Row1.DriverSide.Headrest.Angle; Vehicle.Cabin.Seat.Row1.Middle.Headrest.Angle; Vehicle.Cabin.Seat.Row1.PassengerSide.Headrest.Angle; Vehicle.Cabin.Seat.Row2.DriverSide.Headrest.Angle; Vehicle.Cabin.Seat.Row2.Middle.Headrest.Angle; Vehicle.Cabin.Seat.Row2.PassengerSide.Headrest.Angle,INFO_DRIVER_SEAT; HVAC_SEAT_TEMPERATURE; HVAC_SEAT_VENTILATION; SEAT_MEMORY_SELECT; SEAT_MEMORY_SET; SEAT_BELT_BUCKLED; SEAT_BELT_HEIGHT_POS; SEAT_BELT_HEIGHT_MOVE; SEAT_FORE_AFT_POS; SEAT_FORE_AFT_MOVE; SEAT_BACKREST_ANGLE_1_POS; SEAT_BACKREST_ANGLE_1_MOVE; SEAT_BACKREST_ANGLE_2_POS; SEAT_BACKREST_ANGLE_2_MOVE; SEAT_HEIGHT_POS; SEAT_HEIGHT_MOVE; SEAT_DEPTH_POS; SEAT_DEPTH_MOVE; SEAT_TILT_POS; SEAT_TILT_MOVE; SEAT_LUMBAR_FORE_AFT_POS; SEAT_LUMBAR_FORE_AFT_MOVE; SEAT_LUMBAR_SIDE_SUPPORT_POS; SEAT_LUMBAR_SIDE_SUPPORT_MOVE; SEAT_HEADREST_HEIGHT_POS; SEAT_HEADREST_HEIGHT_POS_V2; SEAT_HEADREST_HEIGHT_MOVE; SEAT_HEADREST_ANGLE_POS; SEAT_HEADREST_ANGLE_MOVE; SEAT_HEADREST_FORE_AFT_POS; SEAT_HEADREST_FORE_AFT_MOVE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; SEAT_EASY_ACCESS_ENABLED; SEAT_AIRBAG_ENABLED; SEAT_AIRBAGS_DEPLOYED; SEAT_CUSHION_SIDE_SUPPORT_POS; SEAT_CUSHION_SIDE_SUPPORT_MOVE; SEAT_LUMBAR_VERTICAL_POS; SEAT_LUMBAR_VERTICAL_MOVE; SEAT_WALK_IN_POS; SEAT_BELT_PRETENSIONER,否,,否/待审,已知但不可执行,new_known_candidates,VSS 明确提供用户可操作的座椅舒适性目标；可自然表达为设置座椅部件及数值，但现有 149 个意图未覆盖。,缺失候选
VCC-147,设置座椅头枕高度,设置,座椅,按官方路径区域归并,连续数值,座舱,Vehicle.Cabin.Seat.Row1.DriverSide.Headrest.Height; Vehicle.Cabin.Seat.Row1.Middle.Headrest.Height; Vehicle.Cabin.Seat.Row1.PassengerSide.Headrest.Height; Vehicle.Cabin.Seat.Row2.DriverSide.Headrest.Height; Vehicle.Cabin.Seat.Row2.Middle.Headrest.Height; Vehicle.Cabin.Seat.Row2.PassengerSide.Headrest.Height,INFO_DRIVER_SEAT; HVAC_SEAT_TEMPERATURE; HVAC_SEAT_VENTILATION; SEAT_MEMORY_SELECT; SEAT_MEMORY_SET; SEAT_BELT_BUCKLED; SEAT_BELT_HEIGHT_POS; SEAT_BELT_HEIGHT_MOVE; SEAT_FORE_AFT_POS; SEAT_FORE_AFT_MOVE; SEAT_BACKREST_ANGLE_1_POS; SEAT_BACKREST_ANGLE_1_MOVE; SEAT_BACKREST_ANGLE_2_POS; SEAT_BACKREST_ANGLE_2_MOVE; SEAT_HEIGHT_POS; SEAT_HEIGHT_MOVE; SEAT_DEPTH_POS; SEAT_DEPTH_MOVE; SEAT_TILT_POS; SEAT_TILT_MOVE; SEAT_LUMBAR_FORE_AFT_POS; SEAT_LUMBAR_FORE_AFT_MOVE; SEAT_LUMBAR_SIDE_SUPPORT_POS; SEAT_LUMBAR_SIDE_SUPPORT_MOVE; SEAT_HEADREST_HEIGHT_POS; SEAT_HEADREST_HEIGHT_POS_V2; SEAT_HEADREST_HEIGHT_MOVE; SEAT_HEADREST_ANGLE_POS; SEAT_HEADREST_ANGLE_MOVE; SEAT_HEADREST_FORE_AFT_POS; SEAT_HEADREST_FORE_AFT_MOVE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; SEAT_EASY_ACCESS_ENABLED; SEAT_AIRBAG_ENABLED; SEAT_AIRBAGS_DEPLOYED; SEAT_CUSHION_SIDE_SUPPORT_POS; SEAT_CUSHION_SIDE_SUPPORT_MOVE; SEAT_LUMBAR_VERTICAL_POS; SEAT_LUMBAR_VERTICAL_MOVE; SEAT_WALK_IN_POS; SEAT_BELT_PRETENSIONER,否,,否/待审,已知但不可执行,new_known_candidates,VSS 明确提供用户可操作的座椅舒适性目标；可自然表达为设置座椅部件及数值，但现有 149 个意图未覆盖。,缺失候选
VCC-152,设置座椅颈部送风,设置,座椅,按官方路径区域归并,百分比,座舱,Vehicle.Cabin.Seat.Row1.DriverSide.NeckScarf.FanSpeed; Vehicle.Cabin.Seat.Row1.Middle.NeckScarf.FanSpeed; Vehicle.Cabin.Seat.Row1.PassengerSide.NeckScarf.FanSpeed; Vehicle.Cabin.Seat.Row2.DriverSide.NeckScarf.FanSpeed; Vehicle.Cabin.Seat.Row2.Middle.NeckScarf.FanSpeed; Vehicle.Cabin.Seat.Row2.PassengerSide.NeckScarf.FanSpeed,INFO_DRIVER_SEAT; HVAC_SEAT_TEMPERATURE; HVAC_SEAT_VENTILATION; SEAT_MEMORY_SELECT; SEAT_MEMORY_SET; SEAT_BELT_BUCKLED; SEAT_BELT_HEIGHT_POS; SEAT_BELT_HEIGHT_MOVE; SEAT_FORE_AFT_POS; SEAT_FORE_AFT_MOVE; SEAT_BACKREST_ANGLE_1_POS; SEAT_BACKREST_ANGLE_1_MOVE; SEAT_BACKREST_ANGLE_2_POS; SEAT_BACKREST_ANGLE_2_MOVE; SEAT_HEIGHT_POS; SEAT_HEIGHT_MOVE; SEAT_DEPTH_POS; SEAT_DEPTH_MOVE; SEAT_TILT_POS; SEAT_TILT_MOVE; SEAT_LUMBAR_FORE_AFT_POS; SEAT_LUMBAR_FORE_AFT_MOVE; SEAT_LUMBAR_SIDE_SUPPORT_POS; SEAT_LUMBAR_SIDE_SUPPORT_MOVE; SEAT_HEADREST_HEIGHT_POS; SEAT_HEADREST_HEIGHT_POS_V2; SEAT_HEADREST_HEIGHT_MOVE; SEAT_HEADREST_ANGLE_POS; SEAT_HEADREST_ANGLE_MOVE; SEAT_HEADREST_FORE_AFT_POS; SEAT_HEADREST_FORE_AFT_MOVE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; SEAT_EASY_ACCESS_ENABLED; SEAT_AIRBAG_ENABLED; SEAT_AIRBAGS_DEPLOYED; SEAT_CUSHION_SIDE_SUPPORT_POS; SEAT_CUSHION_SIDE_SUPPORT_MOVE; SEAT_LUMBAR_VERTICAL_POS; SEAT_LUMBAR_VERTICAL_MOVE; SEAT_WALK_IN_POS; SEAT_BELT_PRETENSIONER,否,,是,已知但不可执行,new_known_candidates,VSS 明确提供用户可操作的座椅舒适性目标；可自然表达为设置座椅部件及数值，但现有 149 个意图未覆盖。,已覆盖-正式
VCC-153,设置座椅颈部加热/通风,设置,座椅,按官方路径区域归并,连续数值,座舱,Vehicle.Cabin.Seat.Row1.DriverSide.NeckScarf.HeatingCooling; Vehicle.Cabin.Seat.Row1.Middle.NeckScarf.HeatingCooling; Vehicle.Cabin.Seat.Row1.PassengerSide.NeckScarf.HeatingCooling; Vehicle.Cabin.Seat.Row2.DriverSide.NeckScarf.HeatingCooling; Vehicle.Cabin.Seat.Row2.Middle.NeckScarf.HeatingCooling; Vehicle.Cabin.Seat.Row2.PassengerSide.NeckScarf.HeatingCooling,INFO_DRIVER_SEAT; HVAC_SEAT_TEMPERATURE; HVAC_SEAT_VENTILATION; SEAT_MEMORY_SELECT; SEAT_MEMORY_SET; SEAT_BELT_BUCKLED; SEAT_BELT_HEIGHT_POS; SEAT_BELT_HEIGHT_MOVE; SEAT_FORE_AFT_POS; SEAT_FORE_AFT_MOVE; SEAT_BACKREST_ANGLE_1_POS; SEAT_BACKREST_ANGLE_1_MOVE; SEAT_BACKREST_ANGLE_2_POS; SEAT_BACKREST_ANGLE_2_MOVE; SEAT_HEIGHT_POS; SEAT_HEIGHT_MOVE; SEAT_DEPTH_POS; SEAT_DEPTH_MOVE; SEAT_TILT_POS; SEAT_TILT_MOVE; SEAT_LUMBAR_FORE_AFT_POS; SEAT_LUMBAR_FORE_AFT_MOVE; SEAT_LUMBAR_SIDE_SUPPORT_POS; SEAT_LUMBAR_SIDE_SUPPORT_MOVE; SEAT_HEADREST_HEIGHT_POS; SEAT_HEADREST_HEIGHT_POS_V2; SEAT_HEADREST_HEIGHT_MOVE; SEAT_HEADREST_ANGLE_POS; SEAT_HEADREST_ANGLE_MOVE; SEAT_HEADREST_FORE_AFT_POS; SEAT_HEADREST_FORE_AFT_MOVE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; SEAT_EASY_ACCESS_ENABLED; SEAT_AIRBAG_ENABLED; SEAT_AIRBAGS_DEPLOYED; SEAT_CUSHION_SIDE_SUPPORT_POS; SEAT_CUSHION_SIDE_SUPPORT_MOVE; SEAT_LUMBAR_VERTICAL_POS; SEAT_LUMBAR_VERTICAL_MOVE; SEAT_WALK_IN_POS; SEAT_BELT_PRETENSIONER,否,,否/待审,已知但不可执行,new_known_candidates,VSS 明确提供用户可操作的座椅舒适性目标；可自然表达为设置座椅部件及数值，但现有 149 个意图未覆盖。,缺失候选
VCC-170,设置充电上限,设置,动力电池充电,按官方路径区域归并,百分比,动力,Vehicle.Powertrain.TractionBattery.Charging.ChargeLimit,EV_CHARGE_PORT_OPEN; EV_CHARGE_PORT_CONNECTED; EV_BATTERY_INSTANTANEOUS_CHARGE_RATE; EV_CHARGE_CURRENT_DRAW_LIMIT; EV_CHARGE_PERCENT_LIMIT; EV_CHARGE_STATE; EV_CHARGE_SWITCH; EV_CHARGE_TIME_REMAINING,否,,否/待审,已知但不可执行,new_known_candidates,VSS 提供充电启停、充电上限或定时目标；属于用户可从座舱主动设置的车辆功能，现有 149 个意图未覆盖。,缺失候选
VCC-171,开始充电,开始,动力电池充电,按官方路径区域归并,枚举,动力,Vehicle.Powertrain.TractionBattery.Charging.StartStopCharging,EV_CHARGE_PORT_OPEN; EV_CHARGE_PORT_CONNECTED; EV_BATTERY_INSTANTANEOUS_CHARGE_RATE; EV_CHARGE_CURRENT_DRAW_LIMIT; EV_CHARGE_PERCENT_LIMIT; EV_CHARGE_STATE; EV_CHARGE_SWITCH; EV_CHARGE_TIME_REMAINING,否,,否/待审,已知但不可执行,new_known_candidates,VSS 提供充电启停、充电上限或定时目标；属于用户可从座舱主动设置的车辆功能，现有 149 个意图未覆盖。,缺失候选
VCC-172,停止充电,停止,动力电池充电,按官方路径区域归并,枚举,动力,Vehicle.Powertrain.TractionBattery.Charging.StartStopCharging,EV_CHARGE_PORT_OPEN; EV_CHARGE_PORT_CONNECTED; EV_BATTERY_INSTANTANEOUS_CHARGE_RATE; EV_CHARGE_CURRENT_DRAW_LIMIT; EV_CHARGE_PERCENT_LIMIT; EV_CHARGE_STATE; EV_CHARGE_SWITCH; EV_CHARGE_TIME_REMAINING,否,,否/待审,已知但不可执行,new_known_candidates,VSS 提供充电启停、充电上限或定时目标；属于用户可从座舱主动设置的车辆功能，现有 149 个意图未覆盖。,缺失候选
VCC-173,设置充电定时模式,设置模式,动力电池充电,按官方路径区域归并,枚举,动力,Vehicle.Powertrain.TractionBattery.Charging.Timer.Mode,EV_CHARGE_PORT_OPEN; EV_CHARGE_PORT_CONNECTED; EV_BATTERY_INSTANTANEOUS_CHARGE_RATE; EV_CHARGE_CURRENT_DRAW_LIMIT; EV_CHARGE_PERCENT_LIMIT; EV_CHARGE_STATE; EV_CHARGE_SWITCH; EV_CHARGE_TIME_REMAINING,否,,否/待审,已知但不可执行,new_known_candidates,VSS 提供充电启停、充电上限或定时目标；属于用户可从座舱主动设置的车辆功能，现有 149 个意图未覆盖。,缺失候选
VCC-174,设置充电定时时间,设置模式,动力电池充电,按官方路径区域归并,时间,动力,Vehicle.Powertrain.TractionBattery.Charging.Timer.Time,EV_CHARGE_PORT_OPEN; EV_CHARGE_PORT_CONNECTED; EV_BATTERY_INSTANTANEOUS_CHARGE_RATE; EV_CHARGE_CURRENT_DRAW_LIMIT; EV_CHARGE_PERCENT_LIMIT; EV_CHARGE_STATE; EV_CHARGE_SWITCH; EV_CHARGE_TIME_REMAINING,否,,否/待审,已知但不可执行,new_known_candidates,VSS 提供充电启停、充电上限或定时目标；属于用户可从座舱主动设置的车辆功能，现有 149 个意图未覆盖。,缺失候选
