source_candidate_ids,建议规范名称,动作,对象,可用区域,数值类型,所属功能域,车辆信号规范来源路径,安卓汽车辅助来源,与现有意图是否重叠,当前对应意图编号,是否拥有现有安全合同,建议运行身份,判定类别,判定依据,原候选覆盖标签
VCC-001,启用ABS,启用,ABS,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.ABS.IsEnabled,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,ABS_ENABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-002,停用ABS,停用,ABS,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.ABS.IsEnabled,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,ABS_DISABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-003;VCC-004,设置巡航跟车间距,设置,巡航,按官方路径区域归并,数值/枚举,驾驶辅助,Vehicle.ADAS.CruiseControl.AdaptiveDistanceSet; Vehicle.ADAS.CruiseControl.AdaptiveIntervalSet,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,是,CRUISE_SET_GAP,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-007,启用巡航,启用,巡航,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.CruiseControl.IsEnabled,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,是,CRUISE_ENABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-008,停用巡航,停用,巡航,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.CruiseControl.IsEnabled,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,是,CRUISE_DISABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-009,设置巡航速度,设置,巡航,按官方路径区域归并,连续数值,驾驶辅助,Vehicle.ADAS.CruiseControl.SpeedSet,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,是,CRUISE_SET_SPEED,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-010,启用EBA,启用,EBA,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.EBA.IsEnabled,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,EBA_ENABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-011,停用EBA,停用,EBA,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.EBA.IsEnabled,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,EBA_DISABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-012,启用ESC,启用,ESC,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.ESC.IsEnabled,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,ESC_ENABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-013,停用ESC,停用,ESC,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.ESC.IsEnabled,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,ESC_DISABLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
