candidate_id,recommended_semantic,action,object,area_capability,value_type,allowed_or_range,official_primary_source_path,official_primary_type,official_primary_datatype,official_primary_unit,official_primary_description,official_auxiliary_source,source_group_key,raw_actuator_nodes,android_auxiliary_candidates,current_coverage_status,current_intent_ids,user_controllable,suspected_duplicate,recommend_add_to_understandable_space,complete_safety_contract
VCC-001,ENABLE ABS 启用,ENABLE,ABS,按官方路径区域归并,布尔,,Vehicle.ADAS.ABS.IsEnabled,actuator,boolean,,Indicates if ABS is enabled. True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.ABS.IsEnabled,1,,疑似重复,ESC_ENABLE; CRUISE_ENABLE,是,是,是,否/待审
VCC-002,DISABLE ABS 停用,DISABLE,ABS,按官方路径区域归并,布尔,,Vehicle.ADAS.ABS.IsEnabled,actuator,boolean,,Indicates if ABS is enabled. True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.ABS.IsEnabled,1,,疑似重复,ESC_DISABLE; CRUISE_DISABLE,是,是,是,否/待审
VCC-003,SET CRUISE AdaptiveDistanceSet,SET,CRUISE,按官方路径区域归并,连续数值,0.0,Vehicle.ADAS.CruiseControl.AdaptiveDistanceSet,actuator,float,m,Distance in meters to keep from lead vehicle,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.CruiseControl.AdaptiveDistanceSet,1,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,疑似重复,CRUISE_SET_SPEED; CRUISE_SET_GAP,是,是,是,否/待审
VCC-004,SET CRUISE AdaptiveIntervalSet,SET,CRUISE,按官方路径区域归并,连续数值,,Vehicle.ADAS.CruiseControl.AdaptiveIntervalSet,actuator,uint8,,"Follow distance setting, commonly 1-5 with 1 being closest.",Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.CruiseControl.AdaptiveIntervalSet,1,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,疑似重复,CRUISE_SET_SPEED; CRUISE_SET_GAP,是,是,是,否/待审
VCC-005,TURN_ON CRUISE 开启,TURN_ON,CRUISE,按官方路径区域归并,布尔,,Vehicle.ADAS.CruiseControl.IsActive,actuator,boolean,,Indicates if cruise control system is active (i.e. actively controls speed). True = Active. False = Inactive.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.CruiseControl.IsActive,1,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,缺失候选,,否,否,是,否/待审
VCC-006,TURN_OFF CRUISE 关闭,TURN_OFF,CRUISE,按官方路径区域归并,布尔,,Vehicle.ADAS.CruiseControl.IsActive,actuator,boolean,,Indicates if cruise control system is active (i.e. actively controls speed). True = Active. False = Inactive.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.CruiseControl.IsActive,1,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,缺失候选,,否,否,是,否/待审
VCC-007,ENABLE CRUISE 启用,ENABLE,CRUISE,按官方路径区域归并,布尔,,Vehicle.ADAS.CruiseControl.IsEnabled,actuator,boolean,,Indicates if cruise control system is enabled (e.g. ready to receive configurations and settings) True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.CruiseControl.IsEnabled,1,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,疑似重复,ESC_ENABLE; CRUISE_ENABLE,是,是,是,否/待审
VCC-008,DISABLE CRUISE 停用,DISABLE,CRUISE,按官方路径区域归并,布尔,,Vehicle.ADAS.CruiseControl.IsEnabled,actuator,boolean,,Indicates if cruise control system is enabled (e.g. ready to receive configurations and settings) True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.CruiseControl.IsEnabled,1,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,疑似重复,ESC_DISABLE; CRUISE_DISABLE,是,是,是,否/待审
VCC-009,SET CRUISE SpeedSet,SET,CRUISE,按官方路径区域归并,连续数值,,Vehicle.ADAS.CruiseControl.SpeedSet,actuator,float,km/h,Set cruise control speed in kilometers per hour.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.CruiseControl.SpeedSet,1,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,疑似重复,CRUISE_SET_SPEED; CRUISE_SET_GAP,是,是,是,否/待审
VCC-010,ENABLE EBA 启用,ENABLE,EBA,按官方路径区域归并,布尔,,Vehicle.ADAS.EBA.IsEnabled,actuator,boolean,,Indicates if EBA is enabled. True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.EBA.IsEnabled,1,,疑似重复,ESC_ENABLE; CRUISE_ENABLE,是,是,是,否/待审
