CHANGE_ID,change_type,approved_capability_id,current_summary,proposed_summary,final_intent_slot_expression,affected_intents,confidence,requires_human_review,human_decision,allowed_decisions,human_modified_definition,human_comment,reviewer,reviewed_at
FRR-001,ADD_INTENT,TRANSMISSION_DIFF_LOCK,"候选 Intent 不存在；现有同族：DIFFERENTIAL_LOCK, DIFFERENTIAL_UNLOCK","DIFFERENTIAL_SET_ENGAGEMENT；required=['VALUE']；optional=['AREA', 'NEGATION']；conditional=None；mode=None；value={'type': 'PERCENT', 'unit': '%', 'min': 0, 'max': 100}","{""intent"":""DIFFERENTIAL_SET_ENGAGEMENT"",""required_slots"":[""VALUE""],""optional_slots"":[""AREA"",""NEGATION""]}","{""preserve"":[""DIFFERENTIAL_LOCK"",""DIFFERENTIAL_UNLOCK""],""boundary"":""0/100 endpoints remain distinct commands; intermediate percentage uses SET_ENGAGEMENT.""}",MEDIUM,YES,REJECT,FINALIZED,,不新增 DIFFERENTIAL_SET_ENGAGEMENT：项目不把差速锁 0~100% 中间结合度作为普通用户级语音控制能力；保留 DIFFERENTIAL_LOCK / DIFFERENTIAL_UNLOCK。,USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-002,ADD_INTENT,BODY_HORN,候选 Intent 不存在；现有同族：HORN_ACTIVATE,HORN_DEACTIVATE；required=[]；optional=['NEGATION']；conditional=None；mode=None；value=NONE,"{""intent"":""HORN_DEACTIVATE"",""required_slots"":[],""optional_slots"":[""NEGATION""],""status"":""REVIEW_REQUIRED""}","{""review"":[""HORN_ACTIVATE""],""boundary"":""Do not reinterpret negated activation (‘不要鸣笛’) as deactivation; it remains HORN_ACTIVATE + NEGATION.""}",LOW,YES,REJECT,FINALIZED,,不新增 HORN_DEACTIVATE：HORN_ACTIVATE 按瞬时/有界动作处理，停止由执行生命周期释放或超时完成；不得按 Boolean 对称强行扩展。,USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-003,MERGE_INTENT,BODY_MAIN_LIGHT_MODE,HEADLIGHT_ON；required=[]；optional=['NEGATION']；value=NONE；mode=None,移除 HEADLIGHT_ON；合并到 HEADLIGHT_SET_MODE,"{""intent"":""HEADLIGHT_SET_MODE"",""required_slots"":[""MODE""],""canonical_mode_for_on_alias"":""BEAM""}","{""must_not_merge"":[""LOW_BEAM_ON"",""LOW_BEAM_OFF"",""HIGH_BEAM_ON"",""HIGH_BEAM_OFF"",""FOG_LIGHT_ON"",""FOG_LIGHT_OFF""],""reason"":""These have independent VSS actuator paths.""}",HIGH,YES,APPROVE,FINALIZED,,删除独立 HEADLIGHT_ON；明确主灯开关语义下，‘打开主灯/大灯’统一为 HEADLIGHT_SET_MODE + MODE=BEAM。ON 仅是受限词法别名。,USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-004,MERGE_INTENT,BODY_MAIN_LIGHT_MODE,HEADLIGHT_OFF；required=[]；optional=['NEGATION']；value=NONE；mode=None,移除 HEADLIGHT_OFF；合并到 HEADLIGHT_SET_MODE,"{""intent"":""HEADLIGHT_SET_MODE"",""required_slots"":[""MODE""],""MODE"":""OFF""}","{""must_not_merge"":[""LOW_BEAM_OFF"",""HIGH_BEAM_OFF"",""FOG_LIGHT_OFF""],""reason"":""Independent beam/fog actuator writes remain separate.""}",HIGH,YES,APPROVE,FINALIZED,,删除独立 HEADLIGHT_OFF；‘关闭主灯/大灯’统一为 HEADLIGHT_SET_MODE + MODE=OFF。,USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-005,SLOT_CONTRACT_CHANGE,SEAT_LONGITUDINAL_POSITION,"SEAT_LONGITUDINAL_SET_POSITION: required=['AREA', 'VALUE'], optional=['DIRECTION', 'NEGATION']","SEAT_LONGITUDINAL_SET_POSITION: required=['AREA'], optional=['VALUE', 'DIRECTION', 'NEGATION'], conditional=AT_LEAST_ONE_OF(VALUE,DIRECTION)","{""SEAT_LONGITUDINAL_SET_POSITION"":{""required_slots"":[""AREA""],""optional_slots"":[""VALUE"",""DIRECTION"",""NEGATION""],""conditional_requirement"":""AT_LEAST_ONE_OF(VALUE,DIRECTION)"",""direction_usage"":""OPTIONAL"",""direction_values"":""FORWARD / BACKWARD"",""value_semantics"":""Position(mm) 与 Forward/Backward switch"",""non_duplication_rule"":""Direction words encode only DIRECTION; VALUE encodes target/magnitude/relative step. A span must not be labeled as both."",""unqualified_area_policy"":""If AREA is absent (e.g. ‘座椅往前一点’), NLU may parse direction/value but validation must request clarification unless a separately approved deterministic driver-seat default exists.""}}","{""intent_count_change"":0,""new_intents"":[],""removed_intents"":[]}",HIGH,YES,APPROVE,FINALIZED,,"采用 AREA 必填、VALUE/DIRECTION/NEGATION 可选、AT_LEAST_ONE_OF(VALUE,DIRECTION)，DIRECTION=FORWARD/BACKWARD；VALUE 与 DIRECTION 不共享同一文本 span。",USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-006,SLOT_CONTRACT_CHANGE,SEAT_TILT,"SEAT_TILT_SET_ANGLE: required=['AREA', 'VALUE'], optional=['DIRECTION', 'NEGATION']","SEAT_TILT_SET_ANGLE: required=['AREA'], optional=['VALUE', 'DIRECTION', 'NEGATION'], conditional=AT_LEAST_ONE_OF(VALUE,DIRECTION)","{""SEAT_TILT_SET_ANGLE"":{""required_slots"":[""AREA""],""optional_slots"":[""VALUE"",""DIRECTION"",""NEGATION""],""conditional_requirement"":""AT_LEAST_ONE_OF(VALUE,DIRECTION)"",""direction_usage"":""OPTIONAL"",""direction_values"":""FORWARD / BACKWARD"",""value_semantics"":""Tilt(degrees) 与 TiltForward/TiltBackward switch"",""non_duplication_rule"":""Direction words encode only DIRECTION; VALUE encodes target/magnitude/relative step. A span must not be labeled as both."",""unqualified_area_policy"":""If AREA is absent (e.g. ‘座椅往前一点’), NLU may parse direction/value but validation must request clarification unless a separately approved deterministic driver-seat default exists.""}}","{""intent_count_change"":0,""new_intents"":[],""removed_intents"":[]}",HIGH,YES,APPROVE,FINALIZED,,"采用 AREA 必填、VALUE/DIRECTION/NEGATION 可选、AT_LEAST_ONE_OF(VALUE,DIRECTION)，DIRECTION=FORWARD/BACKWARD。",USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-007,SLOT_CONTRACT_CHANGE,SEAT_BACKREST_RECLINE,"SEAT_BACKREST_SET_ANGLE: required=['AREA', 'VALUE'], optional=['DIRECTION', 'NEGATION']","SEAT_BACKREST_SET_ANGLE: required=['AREA'], optional=['VALUE', 'DIRECTION', 'NEGATION'], conditional=AT_LEAST_ONE_OF(VALUE,DIRECTION)","{""SEAT_BACKREST_SET_ANGLE"":{""required_slots"":[""AREA""],""optional_slots"":[""VALUE"",""DIRECTION"",""NEGATION""],""conditional_requirement"":""AT_LEAST_ONE_OF(VALUE,DIRECTION)"",""direction_usage"":""OPTIONAL"",""direction_values"":""FORWARD / BACKWARD"",""value_semantics"":""Recline(degrees) 与 ReclineForward/ReclineBackward switch"",""non_duplication_rule"":""Direction words encode only DIRECTION; VALUE encodes target/magnitude/relative step. A span must not be labeled as both."",""unqualified_area_policy"":""If AREA is absent (e.g. ‘座椅往前一点’), NLU may parse direction/value but validation must request clarification unless a separately approved deterministic driver-seat default exists.""}}","{""intent_count_change"":0,""new_intents"":[],""removed_intents"":[]}",HIGH,YES,APPROVE,FINALIZED,,"采用 AREA 必填、VALUE/DIRECTION/NEGATION 可选、AT_LEAST_ONE_OF(VALUE,DIRECTION)，DIRECTION=FORWARD/BACKWARD。",USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-008,SLOT_CONTRACT_CHANGE,SEAT_HEIGHT,"SEAT_HEIGHT_SET_POSITION: required=['AREA', 'VALUE'], optional=['DIRECTION', 'NEGATION']","SEAT_HEIGHT_SET_POSITION: required=['AREA'], optional=['VALUE', 'DIRECTION', 'NEGATION'], conditional=AT_LEAST_ONE_OF(VALUE,DIRECTION)","{""SEAT_HEIGHT_SET_POSITION"":{""required_slots"":[""AREA""],""optional_slots"":[""VALUE"",""DIRECTION"",""NEGATION""],""conditional_requirement"":""AT_LEAST_ONE_OF(VALUE,DIRECTION)"",""direction_usage"":""OPTIONAL"",""direction_values"":""UP / DOWN"",""value_semantics"":""Height(mm) 与 Up/Down switch"",""non_duplication_rule"":""Direction words encode only DIRECTION; VALUE encodes target/magnitude/relative step. A span must not be labeled as both."",""unqualified_area_policy"":""If AREA is absent (e.g. ‘座椅往前一点’), NLU may parse direction/value but validation must request clarification unless a separately approved deterministic driver-seat default exists.""}}","{""intent_count_change"":0,""new_intents"":[],""removed_intents"":[]}",HIGH,YES,APPROVE,FINALIZED,,"采用 AREA 必填、VALUE/DIRECTION/NEGATION 可选、AT_LEAST_ONE_OF(VALUE,DIRECTION)，DIRECTION=UP/DOWN。",USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-009,SLOT_CONTRACT_CHANGE,SEAT_LUMBAR_SUPPORT,"SEAT_LUMBAR_SET_HEIGHT: required=['AREA', 'VALUE'], optional=['DIRECTION', 'NEGATION']；SEAT_LUMBAR_SET_SUPPORT: required=['AREA', 'VALUE'], optional=['MODE', 'DIRECTION', 'NEGATION']","SEAT_LUMBAR_SET_HEIGHT: required=['AREA'], optional=['VALUE', 'DIRECTION', 'NEGATION'], conditional=AT_LEAST_ONE_OF(VALUE,DIRECTION)；SEAT_LUMBAR_SET_SUPPORT: required=['AREA'], optional=['VALUE', 'DIRECTION', 'MODE', 'NEGATION'], conditional=AT_LEAST_ONE_OF(VALUE,DIRECTION)","{""SEAT_LUMBAR_SET_HEIGHT"":{""required_slots"":[""AREA""],""optional_slots"":[""VALUE"",""DIRECTION"",""NEGATION""],""conditional_requirement"":""AT_LEAST_ONE_OF(VALUE,DIRECTION)"",""direction_usage"":""OPTIONAL"",""direction_values"":""UP / DOWN for height; MORE / LESS for support"",""value_semantics"":""LumbarHeight(mm)、支撑(percent) 与 Up/Down/More/Less switch"",""non_duplication_rule"":""Direction words encode only DIRECTION; VALUE encodes target/magnitude/relative step. A span must not be labeled as both."",""unqualified_area_policy"":""If AREA is absent (e.g. ‘座椅往前一点’), NLU may parse direction/value but validation must request clarification unless a separately approved deterministic driver-seat default exists.""},""SEAT_LUMBAR_SET_SUPPORT"":{""required_slots"":[""AREA""],""optional_slots"":[""VALUE"",""DIRECTION"",""MODE"",""NEGATION""],""conditional_requirement"":""AT_LEAST_ONE_OF(VALUE,DIRECTION)"",""direction_usage"":""OPTIONAL"",""direction_values"":""UP / DOWN for height; MORE / LESS for support"",""value_semantics"":""LumbarHeight(mm)、支撑(percent) 与 Up/Down/More/Less switch"",""non_duplication_rule"":""Direction words encode only DIRECTION; VALUE encodes target/magnitude/relative step. A span must not be labeled as both."",""unqualified_area_policy"":""If AREA is absent (e.g. ‘座椅往前一点’), NLU may parse direction/value but validation must request clarification unless a separately approved deterministic driver-seat default exists.""}}","{""intent_count_change"":0,""new_intents"":[],""removed_intents"":[]}",HIGH,YES,APPROVE,FINALIZED,,腰托高度采用 UP/DOWN；腰托支撑采用 MORE/LESS，MODE 保留 TOP/MID/BOTTOM/GENERIC；两者均 AREA 必填并要求 VALUE/DIRECTION 至少一个，禁止同一 span 重复编码。,USER_APPROVED,2026-08-09T09:17:53+08:00
FRR-010,MODE_CONTRACT_CHANGE,TRANSMISSION_GEAR_SELECTION,GEAR_SET；required=['MODE']；optional=['NEGATION']；value=NONE；mode=GEAR,"GEAR_SET；required=['MODE']；optional=['NEGATION']；conditional=None；mode={'canonical_categories': {'N': {'vss_code': 0}, 'P': {'vss_code': 126}, 'D': {'vss_code': 127}, 'FORWARD_GEAR_N': {'vss_code_rule': 'positive integer n; vehicle capability must support n'}, 'REVERSE_GEAR_N': {'vss_code_rule': 'negative integer -n; vehicle capability must support n'}, 'R': {'alias_for': 'REVERSE_GEAR_1 unless vehicle mapping says otherwise'}}, 'source_allowed_array': [], 'validation_note': 'VSS describes codes in text rather than an allowed enum; supported numeric gears are vehicle-specific and must be validated outside NLU.'}；value=None","{""intent"":""GEAR_SET"",""required_slots"":[""MODE""],""optional_slots"":[""NEGATION""]}","{""intent_count_change"":0,""must_not_create"":[""GEAR_P"",""GEAR_D"",""GEAR_R"",""GEAR_1"",""GEAR_2""]}",MEDIUM,YES,MODIFY,FINALIZED,"{""intent_id"":""GEAR_SET"",""required_slots"":[""MODE""],""optional_slots"":[""NEGATION""],""value_slot_usage"":""NOT_USED_FOR_TARGET_GEAR"",""canonical_modes"":[""P"",""N"",""D"",""FORWARD_GEAR_N"",""REVERSE_GEAR_N""],""lexical_aliases"":{""R挡"":""VEHICLE_SPECIFIC_REVERSE_GEAR"",""倒挡"":""VEHICLE_SPECIFIC_REVERSE_GEAR""},""physical_mapping_authority"":""VehicleCapabilityMapping"",""vehicle_specific_validation_required"":true,""prohibited_generic_mapping"":""R -> REVERSE_GEAR_1""}",GEAR_SET 保持 MODE 必填、NEGATION 可选且 VALUE 不用于目标挡位。P/N/D、FORWARD_GEAR_N、REVERSE_GEAR_N 为 canonical 类别；R挡/倒挡仅作词法识别，物理 gear code 由 VehicleCapabilityMapping 做车型级映射与校验，通用 Registry 禁止写死 R -> REVERSE_GEAR_1。,USER_APPROVED,2026-08-09T09:17:53+08:00
