source_candidate_ids,建议规范名称,动作,对象,可用区域,数值类型,所属功能域,车辆信号规范来源路径,安卓汽车辅助来源,与现有意图是否重叠,当前对应意图编号,是否拥有现有安全合同,建议运行身份,判定类别,判定依据,原候选覆盖标签
VCC-005,开启巡航控制,开启,巡航,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.CruiseControl.IsActive,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,否,,否/待审,不进入运行空间,rejected_low_level,该字段主要表示状态或由车辆控制器管理，不能作为独立用户命令；存在可用的上层控制入口。,缺失候选
VCC-006,关闭巡航控制,关闭,巡航,按官方路径区域归并,布尔,驾驶辅助,Vehicle.ADAS.CruiseControl.IsActive,CRUISE_CONTROL_ENABLED; CRUISE_CONTROL_TYPE; CRUISE_CONTROL_STATE; CRUISE_CONTROL_COMMAND; CRUISE_CONTROL_TARGET_SPEED; ADAPTIVE_CRUISE_CONTROL_TARGET_TIME_GAP; ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE,否,,否/待审,不进入运行空间,rejected_low_level,该字段主要表示状态或由车辆控制器管理，不能作为独立用户命令；存在可用的上层控制入口。,缺失候选
VCC-016,设置发动机舱盖开度,设置,发动机舱盖,按官方路径区域归并,百分比,车身,Vehicle.Body.Hood.Position,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),否,,否/待审,不进入运行空间,rejected_low_level,发动机舱盖位置不是普通座舱语音的稳定用户能力，且存在安全边界不确定性。,缺失候选
VCC-017,切换模式发动机舱盖,切换模式,发动机舱盖,按官方路径区域归并,枚举,车身,Vehicle.Body.Hood.Switch,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),否,,否/待审,不进入运行空间,rejected_low_level,VSS 的通用 Switch 是底层开闭驱动接口；用户语义已由打开/关闭/设置位置等能力覆盖。,疑似重复
VCC-019,关闭喇叭,关闭,喇叭,按官方路径区域归并,布尔,车身,Vehicle.Body.Horn.IsActive,VEHICLE_HORN_ENGAGED,否,,否/待审,不进入运行空间,rejected_low_level,该字段主要表示状态或由车辆控制器管理，不能作为独立用户命令；存在可用的上层控制入口。,疑似重复
VCC-020;VCC-026;VCC-034,开启灯光,开启,灯光,按官方路径区域归并,布尔,车身,Vehicle.Body.Lights.Backup.IsOn; Vehicle.Body.Lights.Brake.IsActive; Vehicle.Body.Lights.LicensePlate.IsOn,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,是,LIGHT_GENERIC,否/待审,不进入运行空间,rejected_low_level,该字段主要表示状态或由车辆控制器管理，不能作为独立用户命令；存在可用的上层控制入口。,疑似重复
VCC-021;VCC-027;VCC-035,关闭灯光,关闭,灯光,按官方路径区域归并,布尔,车身,Vehicle.Body.Lights.Backup.IsOn; Vehicle.Body.Lights.Brake.IsActive; Vehicle.Body.Lights.LicensePlate.IsOn,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,是,LIGHT_GENERIC,否/待审,不进入运行空间,rejected_low_level,该字段主要表示状态或由车辆控制器管理，不能作为独立用户命令；存在可用的上层控制入口。,疑似重复
VCC-050,设置PowerOptimizeLevel,设置,PowerOptimizeLevel,按官方路径区域归并,连续数值,车身,Vehicle.Body.PowerOptimizeLevel,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),否,,否/待审,不进入运行空间,rejected_low_level,非车辆控制语义、系统设置、媒体/导航接口或内部功率优化参数；不应进入车控意图空间。,疑似重复
VCC-051,设置主动尾翼位置,设置,RearMainSpoilerPosition,按官方路径区域归并,百分比,车身,Vehicle.Body.RearMainSpoilerPosition,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),否,,否/待审,不进入运行空间,rejected_low_level,底层主动空气动力学执行器位置，普通用户不会以该底层参数直接提出。,缺失候选
VCC-057,切换模式后备箱,切换模式,后备箱,按官方路径区域归并,枚举,车身,Vehicle.Body.Trunk.Front.Switch; Vehicle.Body.Trunk.Rear.Switch,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),否,,否/待审,不进入运行空间,rejected_low_level,VSS 的通用 Switch 是底层开闭驱动接口；用户语义已由打开/关闭/设置位置等能力覆盖。,疑似重复
